Nui_Citations,nom(s) utilisés dans la source,type(s) de pratique,citation,page,lien vers Nui_Plantes,nom latin de la plante (colonne en doublon),lien vers Nui_Sources,"Auteur, nom (colonne en doublon)","Ouvrage, titre (colonne en doublon)","Ouvrage, date de publication (colonne en doublon)",note
nui_cit_00001,"thé de Saint-Domingue, capraria biflora",médicinale,"On appliquera avec succès les propriétés vulnéraires de l'herbe à blé (saccarum vulnerarium, Tussac) ; du thé de Saint-Domingue (Capraria biflora), de l'herbe à plomb (Lantana Camara). ",p. 18 t. 1,nui_pla_00013,"capraria biflora
",nui_sou_00001,Descourtilz,"Flore médicale des Antilles, ou Traité des plantes usuelles des colonies françaises, anglaises, espagnoles, portugaises",1821-1827 ; 1833,// usage médicinal non précisé mais  apriori c'est en externe.
nui_cit_00002,"Carmatine Pectorale, Herpe à charpentier à Saint-Domingue, Justicia pectoralis","culturale, médicinale","Cette plante précieuse est employée par les dames créoles pour préparer le sirop de charpentier ; elle se multiplie par boutures en terrines dans la tannée. (...)
Propriétés médicinales. La Carmantine pectorale qui entre et fait la base du sirop d'herbe à charpentier, est très-recherchée aux Antilles comme plante médicinale. Le sirop qu'elle produit, ou plutôt qui porte son nom, est très-agréable, béchique et stomachique. (...) La Carmantine pextorale, dont le sirop est tant vanté pour les maladies de poitrine, offre aussi un excellent vulnéraire et un résolutif. C'est par cette vertu incisibe que la Carmantine atténue, divise, liquéfie cette lymphe épaisse qui engoue l'organe pulmonaire. Ce sirop convient dans les toux opiniâtres et l'asthme.",p. 226-227 t. 4,nui_pla_00036,Justicia pectoralis jacq,nui_sou_00001,Descourtilz,"Flore médicale des Antilles, ou Traité des plantes usuelles des colonies françaises, anglaises, espagnoles, portugaises",1821-1827 ; 1833,planche représentant la plante
nui_cit_00003,"Petivère alliacée, Verveine puante, Herbe aux poules de Guinée, Petiveria allicea","autre, médicinale","On se sert particulièrement des racines pour écarter des habits et des étoffes de laine les insectes qui les attaquent.
(...)
Propriétés médicinales. La Petivère alliacée augmente la sécrétion de l'urine et provoque la transpiration, ce qui la fait employer dans les fièvres de mauvais caractère. C'est, dit-on, un très-bon vermifuge, un excellement expectorant et un parfait hydragogue. Quelques praticiens emploient cette Petivère dans les ischuries spasmodiques et en injections contre les suffocations de l'utérus. Poupée-Desportes la prescrivait dans les traitemens des gonorrhées et des flueurs blanches. Prenez, dit-il, de la limaille d'acien, une once; du sel ammoniac, demi-gros ; sespendez la limaille dans un nouet ; des écroces d'oranger sauvage et de liane à savon, de gommier et de bois marie, de chacun une pincée; des racines de verveine puante, une demi-pincée ; faites-les bouillir dans trois chopines d'eau jusqu'à diminution d'un tiers. On emploie de la même manière et aux mêmes usages, dans les colonies, la sauge puante, solanum frutescens altissimum foetidum, conyzoe foliis majoribus, baccis luteis.",p. 266-268 t. 5,nui_pla_00048,Petiveria alliacea L.,nui_sou_00001,Descourtilz,"Flore médicale des Antilles, ou Traité des plantes usuelles des colonies françaises, anglaises, espagnoles, portugaises",1821-1827 ; 1833,planche représentant la plante
nui_cit_00004,"Panicaut fétide, Chardon étoilé, Chardon Roland puant, eryngium foetidum",médicinale,"Propriétés médicinales. Le Panicaut fétide, connu également sous les noms de Chardon étoilé, de Chardon Roland puant, est recommandé dans les affections hystériques, calculeuses, etc. On se sert de la racine ou de la plante entière en infusion théiforme ; et, étant édulcorée avec un sirop aromatique, elle perd de sa fétidité. Ce Panicaut est également sudorifique et fébrifuge. 
Selon Poupée-Desportes, la racine, étant broyée et infusée au poids de trois gros, dans dix onces d'eau bouillante, rétablit les fonctions de l'abdomen, et particulièrement de l'utérus. D'après Rhéede, la décoction guérot les douleurs du bas-ventre et des membres, qui proviennent d'une transpiration interceptée, en agissant comme sudorifique. On l'administre également dans la colique iliage, et pour provoquer les mois et les urines ; enfin on lui attribut une vertu alexipharmaque contre la morsure des serpens venimeux, probablement encore par sa vertu diaphorétique. Un cataplasme fait avec la décoction de toute la plante et de la farine de maïs serait, continue l'observateur du Malabat, un très-bon fondant propre à dissiper les tumeurs et à atténuer les humeurs des articulations. Poupée-Desportes gémit sur la dépravation des hommes en pensant qu'aux colonies on emploi souvent ce dangereux emménagogue dans l'intention criminel de priver de la vie un être qui devient ainsi la victime de ceux qui devraient protéger ses jours.",p. 319-320 t. 8,nui_pla_00026,Eryngium foetidum L.,nui_sou_00001,Descourtilz,"Flore médicale des Antilles, ou Traité des plantes usuelles des colonies françaises, anglaises, espagnoles, portugaises",1821-1827 ; 1833,planche représentant la plante
nui_cit_00005,"Conize Lobée, Herbe à pique, Tabac du Diable, Coniza lobata",médicinale,"Propriétés médicinales. Lherbe à pic remplace la gentiane et jouit d'une saveur amère aromatique au-dessus de celle précitée et de tous les amers connus. Son extrait, qu'a fait connaître, comme je viens de le dire, le docteur Lamaury, médecin savant et très-recommandable, paraît répondre aux idées qu'il s'en était formées. Il convient parfaitement dans l'affection nerveuse, dans celles séreuses du bas-ventre, dans les obstructions et les engorgemens squirreux du mésentère, dans la chlorose et à la suite des fièvres dans les anorexies et quelques affections vermieneuses. Les propriétés de cette plante précieuse ont été éprouvées par plusieurs médecins des colonies. 
Mode d'administration. La dose de l'extrait est d'un scrupule à un gros.",p. 228 t. 5,nui_pla_00044,Neurolaena lobata (L.) Cass.,nui_sou_00001,Descourtilz,"Flore médicale des Antilles, ou Traité des plantes usuelles des colonies françaises, anglaises, espagnoles, portugaises",1821-1827 ; 1833,"planche représentant la plante, éléments de pratique culturale pour l'Europe"
nui_cit_00006,Pourpier,alimentaire,"Ce pourpier [Pourpier très-amer, Portulaca maritima amarissima], sans cesse arrosé par l'onde salée, se plaît sur le rivage de la mer, et n'est employé qu'en médecine ; son amertume extrême, en éloigne les oiseaux de mer et des rives, et le nègre même, qui recherche avec soin les autres espèces de pourpier pour les calalous, dont il fait sa nourriture, craint souvent d'y faire entrer celui-ci.",p. 228 t. 1,nui_pla_00055,Portulaca oleracea L.,nui_sou_00001,Descourtilz,"Flore médicale des Antilles, ou Traité des plantes usuelles des colonies françaises, anglaises, espagnoles, portugaises",1821-1827 ; 1833,"mention indirecte, variété non précisée"
nui_cit_00007,Pourpier,alimentaire,"Les habitants en mangent les feuilles assaisonnées [Amaranthe oléracée] comme celles des épinards de France, auxquels cette plante ressemble assez par son port. On la fait entrer dans le fameux ragoût créole nommé calalou, en lui associant des bourgeons de giraumon, du pourpier, du gombo, de la morelle laman, une volaille, un morceau de jambon, des crabes, des écrevisses, et surtout beaucoup de piment.",p. 14 t. 5,nui_pla_00055,Portulaca oleracea L.,nui_sou_00001,Descourtilz,"Flore médicale des Antilles, ou Traité des plantes usuelles des colonies françaises, anglaises, espagnoles, portugaises",1821-1827 ; 1833,"mention indirecte, variété non précisée"
nui_cit_00008,"Goyavier pyriforme, psidium pyriferum","alimentaire, médicinale","Les feuilles, légèrement aromatiques, servent à enfumer les viande, taillée en aiguillettes et frottée de jus de citron  et de piment vert, dont on fait un grand usage dans le pays. On joint souvent aux feuilles de Goyavier celles du citronnier. 
(...)
Le suc des bourgeons, selon Minguet, efface les taies de la cornée, et entre dans les gargarismes ; les racines sont estimées également astringentes, et employées dans les dyssepteries et pour fortifier l'estomas. Les feuilles ont les mêmes propriétés, et sont recherchées comme vulnéraires et résolutives ; on les prescrit dans les bains contre les maladies de la reau. Rhéed confirme des propriétés. ",p. 22-24 t. 2,nui_pla_00056,Psidium guajava L.,nui_sou_00001,Descourtilz,"Flore médicale des Antilles, ou Traité des plantes usuelles des colonies françaises, anglaises, espagnoles, portugaises",1821-1827 ; 1833,planche représentant la plante
nui_cit_00009,"Eryngium L., E. foetidum, Eryngium fétide, Herbe à fer, herbe puante, chardon béni, charderon",médicinale,"Martinique. Vulgo : Charderon ou chardon béni. - Aondant. [N°1752.]
-Toutes les parties de la plante, mais surtout les racines, exhalent une odeur très forte, fétide et nauséabonde ; elle n'en est pas moins très estimée et souvent employée dans la médecine domestique. Les racines, les tiges et les feuilles pilées s'administrant en décoction, plus ou moins réduite, dans les fièvres fortes et tenaces, comme un des plus infaillibles sudorifiques et fébrifuges connus. Cette herbe, puante, entre aussi dans la composition du fameux ""looch"", connu à la Guadeloupe sous le nom de : ""Looch de Mme Parizet.""
-A la Martinique, on se sert des feuilles et des racines pilées contre la morsure de serpent ; avec ces feuilles, cuites dans l'eau, et des feuilles pilées de gros coton, on prépare encore une tisane contre les fluxions de poitrine. ",p. 325,nui_pla_00026,eryngium foetidum,nui_sou_00003,Duss,Flore phanérogamique des Antilles françaises : Martinique et Guadeloupe,1897,
nui_cit_00010,"Capraria L., c. biflora L. Capraria, Thé-muraille, thé du pays",médicinale,"La plante est aromatique et fébrifuge ; elle s'emploie dans les campagnes contre toutes sortes d'affections, mais surtout en tisane contre les rhumes, bronchites, fluxions de poitrine, etc. - Alt. 0-600 mèt. [N°2853]
Martinique. Vulgo, Thé-muraille, thé du pays - dans toute l'île. [N°1357]",p. 404,nui_pla_00013,capraria biflora,nui_sou_00003,Duss,Flore phanérogamique des Antilles françaises : Martinique et Guadeloupe,1897,
